Construct Name,Subject Name,Question,Correct Answer,Incorrect Answer,Misconception,MisconceptionId
Determining the position of a specific value in geometric sequences,Geometric Sequences,Emily is studying a geometric sequence where each term is obtained by multiplying the previous term by \(2\). The first term is \(3\). She wants to know at which position in the sequence the value \(384\) appears. Determine the position in the sequence for the value \(384\).,The value \(384\) is at the \(8^{\text{th}}\) position in the sequence.,The value \(8\) is at the \(384^{\text{th}}\) position in the sequence.,Mixes up term in a sequence and position of a term,2220
Calculate total cost,Application of Order of Operations in Algebra,"A mobile phone company offers a data plan that costs a fixed base rate of £15 per month plus £0.05 for each megabyte (MB) used over the included limit. Write a formula for the total monthly cost, \( C \), if \( \boldsymbol{x} \) megabytes are used over the limit.",\( C = 0.05x + 15 \),\( C = 0.05(15 + x) \),Has made an order of operations mistake when writing a formula from a given situation,2221
Calculating Change,Arithmetic Subtraction in Real-life Context,Samantha buys a book for 17 at a store. She gives the cashier a 50 bill. How much change should she receive?,33,23,Out by 10 when subtracting,2222
Dividing Fractions,Fraction Operations,What is the result of dividing \(\frac{3}{4}\) by \(\frac{2}{3}\)? Simplify your answer.,\(\frac{3}{4} \div \frac{2}{3} = \frac{3}{4} \times \frac{3}{2} = \frac{9}{8}\),\(\frac{3}{4} \div \frac{2}{3} = \frac{3}{4} \div \frac{3}{2} = \frac{3}{6} = \frac{1}{2}\),"When dividing fractions, divides the denominators by each other",2223
Recognizing and Calculating Perfect Squares,Number and Algebra,Calculate the value of \( 16^2 \).,256,32,Does not recall larger square numbers,2224
Addition and Subtraction of Integers,Arithmetic with Integers,Calculate the result of the following expression: \( 7 - 12 + 5 - (-3) \).,\( 7 - 12 + 5 + 3 = 3 \),\( 7 + 12 + 5 - 3 = 21 \),Thinks signs are interchangeable when adding or subtracting positive and negative numbers,2225
Understanding and using scale on maps,Geometry and Measurement,"Maria is using a map where 1 cm represents 5 km in real life. On the map, the distance between two towns is 4 cm. What is the actual distance between the two towns?",\( 20 \mathrm{~km} \),\( 0.8 \mathrm{~km} \),Incorrect use of scale on a diagram,2226
Understanding the Pythagorean Theorem,Geometry,A right triangle has one leg that measures 6 units and another leg that measures 8 units. What is the length of the hypotenuse?,10,2,Subtracts rather than adds when using Pythagoras to find the hypotenuse,2227
Identify and analyze numerical patterns,Number Patterns and Sequences,"Consider the sequence: \(2, 4, 6, 10, 16, 26, \ldots \). What number should come next in this sequence?",42,34,Does not know what a Fibonacci sequence is,2228
Understanding Mean Calculation,Statistics,"A class of students scored the following marks in a test: 70, 75, 80, 85, 90. What is the mean score?",\(\frac{70 + 75 + 80 + 85 + 90}{5} = \frac{400}{5} = 80\),\(\frac{400}{400 + 5} = \frac{400}{405} = 0.99\),Believes the mean is something divided by total,2229
Solving systems of linear equations,Substitution into Equation,"\[
\begin{cases}
2x + y = 10 \\
x - y = 2 
\end{cases}
\]
What are the values of \(x\) and \(y\)?",\( \begin{array}{c}x=4 \\ y=2\end{array} \),\( \begin{array}{c}x=3 \\ y=1\end{array} \),substitutes incorrectly,2230
Determine the base area for calculating the volume of a rectangular-based prism,Volume Calculation of Prisms,"Liam is asked to calculate the volume of a rectangular-based prism. To do this, he needs to find the area of the base. Which face should Liam choose as the base of the prism? ![The diagram shows a rectangular prism with various arrows pointing to different faces.]()",![I points to 'the bottom rectangular face'](),![J points to 'one of the vertical rectangular faces'](),Thinks cross section of a prism can be any face,2231
Identifying Perpendicular Lines on a Cartesian Plane,Geometry,Two lines are represented by the equations \( y = 3x + 2 \) and \( y = -\frac{1}{3}x + 5 \). Are these lines perpendicular? State your reasoning.,"Yes, the lines are perpendicular because the product of their slopes is \(-1\). The slope of the first line is \(3\) and the slope of the second line is \(-\frac{1}{3}\), and \(3 \times -\frac{1}{3} = -1\).","No, the lines are not perpendicular because they do not intersect at a \(90\) degree angle when observed on paper.",Thinks that perpendicular lines do not meet at 90 degrees,2232
Finding the reciprocal of a fraction,Fractions,"If \(\frac{2}{5}\) of a job is completed, how much of the job remains to be completed? What is the reciprocal of \(\frac{2}{5}\)?",Reciprocal is \(\frac{5}{2}\),"Remaining of the job to be completed is \(\frac{3}{5}\), and sometimes mistaken as the reciprocal.",Thinks the reciprocal of a fraction is what number adds to that fraction to make one whole.,2233
Subtract algebraic fractions with unlike denominators,Adding and Subtracting Algebraic Fractions,"Write this as a single fraction:
\( \frac{x}{x+2} - \frac{3}{x-2} \)",\( \frac{x(x-2) - 3(x+2)}{(x+2)(x-2)} \) ),\( \frac{x-3}{x+2} \),Forgets to change the numerators when finding equivalent fractions,2234
Identifying Significant Figures,Rounding and Estimation,Identify the second significant figure in the number \( 0.0421 \).,The second significant figure is 2.,The second significant figure is 4.,Gives the first significant figure when asked for the second,2235
Understanding Co-Interior Angles,Geometry: Parallel Lines and Angles,"If two parallel lines are crossed by a transversal, the measure of one of the co-interior angles is \( 110^\circ \). What is the measure of the other co-interior angle?",\( 70^\circ \),\( 110^\circ \),Does not know that co-interior angles sum to 180 degrees,2236
Understanding Place Value in Large Numbers,Place Value,"Consider the following values:   
   - 10,005  
   - 1,999
   - 100,000  
Put them in order from smallest to largest.","1,999, 10,005, 100,000","1,999, 100,000, 10,005","Thinks the more digits a number has the greater it is, regardless of place value",2237
Scaling up Direct Proportions in Word Problems,Mathematics Proportions,"If 5 apples cost 10, how much would 15 apples cost?",The cost would be 30.,The cost would be approximately 3.33.,Divides rather than multiplies when scaling up in direct proportion problems,2238
Number of weeks in specific duration,Time,How many weeks are represented by 365 days?,\(\approx 52 \) weeks (since 365 days ÷ 7 days/week ≈ 52.14 weeks),\( 50 \) weeks (incorrectly assuming a standard conversion factor of 50 weeks/year directly from days),Thinks there are 50 weeks in a year,2239
Factorise a quadratic expression in the form ax² + bx + c where a is prime,Factorising into a Double Bracket,"Factorise the quadratic expression 
\(
7 x^{2}+17 x+6
\)",\( (7 x+3)(x+2) \),\( (7 x+3)(7 x+2) \),"When factorising a quadratic with a non-unit coefficient of x squared, believes that coefficient will be in front of both x terms in the factorised form",2240
Volume Calculation of 3D Shapes,Volume of Prisms and Pyramids,A solid has a triangular base with a height of 4 cm and a base width of 3 cm. The solid is 10 cm tall. Determine the volume of the solid.,"The solid is a triangular prism. The volume is calculated as Volume = Base Area × Height. Here, the base area is (1/2 × base width × base height) = (1/2 × 3 cm × 4 cm) = 6 cm². Therefore, the volume is 6 cm² × 10 cm = 60 cm³.",The student confuses the triangular prism for a pyramid and calculates the volume using the formula for a pyramid: Volume = (1/3) × Base Area × Height. So they get Volume = (1/3) × 6 cm² × 10 cm = 20 cm³.,Confuses triangular prism with pyramid,2241
Converting fractions to decimals and understanding decimal representation,Fractions and Decimals,Dylan is asked to convert the fraction \(\frac{3}{4}\) into a decimal. What is the correct decimal representation of \(\frac{3}{4}\)?,\(0.75\),\(0.4\),Converts a fraction to a decimal by placing the denominator after the decimal point,2242
Understanding calculation of quartiles within data sets,Statistics,"Lisa wants to find the first quartile (Q1) and the third quartile (Q3) of the following data set:  
\[3, 7, 9, 12, 15, 18, 21, 24\]  
Using her understanding, she identifies the quartiles at 1/4 and 3/4 of the way through the range. Determine the values she might calculate for Q1 and Q3 based on this misconception.","\(Q1 = 8\), \(Q3 = 19.5\)","\(Q1 = 6\), \(Q3 = 22.5\)",Believes quartiles are at 1/4 and 3/4 through the range of the data,2243
Conversion between grams and kilograms,Measurement and Units Conversion,Jenna has a large bag of flour that weighs 3 kilograms. How many grams does the flour weigh?,3000 grams,"30,000 grams","Thinks there are 10,000g in a kilogram",2244
Applying proper signs and coefficients when rearranging quadratics,Quadratic Equations,"Chloe rearranges the following equation to solve by the quadratic formula:
\[
5 = x - x^2 + 8
\]
What should be the final form of the equation before substituting into the quadratic formula, and what value will Chloe use for \(c\)?","The equation should be rearranged as \(-x^2 + x + 3 = 0\), and \(c = 3\)","The rearranged form is \(-x^2 + x + 0 = 0\), so \(c = 0\)","When using the formula to solve a quadratic equation, believes that a, b and c are always taken from the 1st, 2nd and 3rd terms, respectively, of the quadratic. ",2245
Convert total seconds to hours and minutes,Time Conversion,How many hours and minutes are there in 5400 seconds?,\( 1 \) hour and \( 30 \) minutes,\( 540 \) hours and \( 0 \) minutes,Answers as if there are 10 seconds in a minute when changing from seconds to minutes,2246
Understanding divisibility through factors,Number Theory,"Is the number \( 60 \) divisible by \( 3 \), knowing that \( 3 \) is a factor of one of its factors, \( 12 \)?","Yes, \( 60 \) is divisible by \( 3 \) since \( 60 \div 3 = 20 \).","No, \( 60 \) is not divisible by \( 3 \) because \( 3 \) is only a factor of \( 12 \), not \( 60 \) directly.",Does not understand that a number is divisible by the factors of its factors,2247
Determine square roots from exponents,"Square Roots, Cube Roots, etc",What is the square root of \( 25 \) expressed as an exponent?,\( 5^{1} \),\( 12.5^{1}\),Halves when asked to find the square root,2248
Calculate an estimated total from a grouped frequency table,Statistics,"A group of students recorded the number of hours they studied over the weekend. The data is grouped as follows: 

- 0-2 hours: 4 students 
- 3-5 hours: 7 students 
- 6-8 hours: 8 students 
- 9-11 hours: 5 students 

Estimate the total number of study hours for the group.","Using the midpoint method, calculate as follows:
- \( (1 \times 4) + (4 \times 7) + (7 \times 8) + (10 \times 5) = 4 + 28 + 56 + 50 = 138 \) hours","Calculate cumulatively, assuming each group is summative:
- Instead of estimating with midpoints, calculate cumulatively as: \( 4 + 11 + 19 + 24 = 58 \) hours",Confuses calculations for cumulative frequency and estimated total from a grouped frequency table,2249
Continue a sequence involving triangle numbers,Other Sequences,"Here are two consecutive triangle numbers: \( 10, 15, \ldots \) What is the next triangle number in the sequence?",\( 21 \),\( 20 \),Believes the difference between triangle numbers remains the same,2250
Use a protractor to measure angles between 180° and 270°,Measuring Angles,Which diagram shows an angle of \( 210^{\circ} \) ?,"![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out an obtuse angle. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, clockwise around to the red line that is halfway between 30 and 40 (outer scale) and halfway between 150 and 140 (inner scale).]()","![A 180 degree protractor (straight edge at the bottom) with 2 red lines and a blue sector marking out an obtuse angle. The angle is between the red line that is at 0 (inner scale) and 180 (outer scale) on the right of the protractor, clockwise around to the red line that is halfway between 20 and 30 (outer scale) and halfway between 160 and 150 (inner scale).]()",Chooses the correct scale when measuring angles on a protractor but starts from the wrong number when the angle is in between two labelled dashes,2251
Write a missing term of an ascending integer linear sequence,Linear Sequences (nth term),The \( 1^{\text {st }} \) term in a linear sequence is \( 3 \). The \( 3^{\text {rd }} \) term of the sequence is \( 17 \). What is the \( 7^{\text {th }} \) term of the sequence?,\( 41 \),\( 49 \),Believes you multiply the constant difference by the term number to get the term value,2252
Finding the general term of an arithmetic sequence,Arithmetic Sequences,"Given the arithmetic sequence: 3, 7, 11, 15, ..., find the value of the term at position 2.5 in the sequence.","The term at position 2.5 is undefined because sequence positions must be integers. Terms exist only at positions 1, 2, 3, etc.",The term at position 2.5 can be calculated as the average of terms at positions 2 and 3: \((7 + 11) / 2 = 9\).,Believes the position number in a sequence does not have to be an integer,2253
Rounding Decimal Numbers to Whole Numbers,Rounding and Estimation,"Round the following decimal number to the nearest whole number:  
7.8",8,78,Removes the decimal point when asked to round a decimal to a whole number,2254
Application of Capture-Recapture Method for Population Estimation,Statistics,"In a forest, a biologist captures and marks 150 deer, which are then released. Later, she captures a second sample of 120 deer, of which 30 were marked. Estimate the total population of deer in the forest.","Let \( N \) be the estimated total population. Then, using the capture-recapture formula:
\[
\frac{\text{Number marked in first sample}}{\text{Estimated population}} = \frac{\text{Number marked in second sample}}{\text{Size of second sample}}
\]
\[
\frac{150}{N} = \frac{30}{120}
\]
Solving this gives:
\[
N = \frac{150 \times 120}{30} = 600 
\]
So, the estimated population is 600 deer.","Incorrectly subtracting the number caught second from the estimated population, thinking \( 600 - 120 = 480 \). This result doesn't represent the number marked in the first sample, leading to an erroneous estimate.",Believes you subtract the number caught second from the estimated population to find the number marked first when using the capture-recapture method,2255
Expand double brackets with an extra variable outside,Expanding Double Brackets,"When you multiply out the brackets and simplify, what replaces the triangle?
\(
r(r-1)(r+1) \equiv r^{3} \bigstar \ r^{2} \triangle \ r
\)",\( \triangle=-1 \),"\(
\triangle=+0
\)
(no \( r \) term)",Believes the constant in an expanded quadratic comes from adding the two numbers in the brackets,2256
Probability without Replacement,Tree Diagrams and Probability,"A box contains 3 red balls and 4 blue balls. You pick one ball at random, note its color, and do not put it back. You then pick another ball. What is the probability that both balls picked are blue?",\(\frac{2}{7}\),\(\frac{3}{6}\),Believes you always reduce the numerator and denominator by 1 when writing the probability for a second pick without replacement on a tree diagram,2257
Convert standard form to ordinary number,Scientific Notation and Standard Form,Write the number \( 3.6 \times 10^4 \) in ordinary form.,\( 36000 \),\( 36 \),Believes when writing a number in standard form as an ordinary number you write any digits in the base (omitting the decimal point) and do not account for the power of 10,2258
Understanding and Calculating the Mean of a Dataset,Statistics - Descriptive Statistics,"The local library recorded the number of books checked out over four weeks as follows: Week 1: 40 books, Week 2: 50 books, Week 3: 60 books, and Week 4: 70 books. What is the mean number of books checked out per week?",The mean number of books checked out per week is \( \frac{40 + 50 + 60 + 70}{4} = \frac{220}{4} = 55 \) books.,The mean number of books checked out per week is \( \frac{220}{220} = 1 \) book.,Believes the mean is something divided by the sum of the categories given,2259
Identify common multiples of two or more numbers,Multiples and Lowest Common Multiple,"Which of the following numbers is a common multiple of \( 3, 5, \) and \( 7 \) ?",\( 105 \),\( 15 \),Identifies a multiple of a number but not a common multiple of a group of numbers,2260
Understand transformations related to symmetry,Transformational Geometry,"Which of the following transformations could result in an image that is identical to the pre-image for any shape that only has rotational symmetry of order more than 1: translation, reflection, or rotation?",Rotation can result in an image that is identical to the pre-image for shapes with only rotational symmetry of order more than 1.,Both reflection and rotation could result in an image that is identical to the pre-image for shapes with only rotational symmetry of order more than 1 because such shapes must have line symmetry.,Believes if shapes have rotational symmetry they must have line symmetry,2261
Convert fractions to ratios,Writing Ratios,A cake contains chocolate and vanilla layers in the ratio 2:3. What ratio represents the chocolate layers to the entire cake?,\( 2:5 \),\( 3:2 \),Gets order of ratio wrong,2262
Understanding power operations,Exponents and Logs,"If \( 81^{1/4} = x \), what is the value of \( x \)?",\( 3 \),\( 81 \),Does not understand the root power of 4,2263
Find 10 less than a given number,Place Value,What number is \( 10 \) less than \( 590 \) ?,\( 580 \),\( 590 \),"When subtracting a power of 10, subtracts from the wrong column",2264
Interpret probabilities in terms of percentages,Probability and Percentages,"In a quiz, the probability that a student answers a question correctly is 70%.

What is the probability that the student does not answer the question correctly?",30%,50%,Thinks that probabilities of an event occurring or not occurring must be equal,2265
Identify and apply supplementary angles correctly,Geometry Basics,"At a certain junction of lines, two angles \(m\) and \(n\) complete \(360^\circ\) around a point. If \(m = 200^\circ\), what is the measure of \(n\)?",\(160^\circ\),\(20^\circ\),Believes angles around a point sum to 180,2266
Understanding and Performing Rotation of Geometric Shapes,Transformations and Rotations,"Rotate the triangle with vertices at \((3, 1)\), \((1, -2)\), and \((4, -3)\) 90 degrees counterclockwise around the origin. What are the new coordinates of the vertices?","The new coordinates are \((-1, 3)\), \((2, 1)\), and \((3, 4)\).","The incorrect answers the student might provide are \((-3, 1)\), \((2, 1)\), and \((3, 4)\), due to focusing on the wrong vertex for one of the points.",Chooses an incorrect point on the object when describing a 90 or 270 degree rotation,2267
Identifying coordinates on the Cartesian plane,Coordinate Geometry,"Given the point on the y-axis, (0, 4), what is the x-coordinate?",0,1,Thinks the x coordinate of a point on the y axis is 1,2268
Calculate the distance between two points on a coordinate plane,Coordinate Geometry,"Find the distance between the points

\[
(2, 3) \text{ and } (5, 3)
\]","The distance is \(3\) units, as it is the difference in the x-coordinates \(5 - 2 = 3\).","The distance is \(4\) units, as the student incorrectly includes the starting point, counting it as \(5 - 2 + 1 = 4\).","When finding the distance between coordinates, includes the starting number",2269
Function Machines and Order of Operations Interpretation,Algebra,"Here is a function machine:   
\( input\Rightarrow \div 4 \Rightarrow + 8 \Rightarrow output\)  
The input is \( 16 \).  
Which calculation gives the correct output?",\( (16 \div 4) + 8 \),\( 16 \div (4 + 8) \),"In a function machine, confuses an operation with the input",2270
Complete missing number division problems with whole numbers,Mental Division,"What number belongs in the box to make the calculation correct?  
\[ 
\frac{\square}{5} = 45 
\]",\( 225 \),\( 9 \),"When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation",2271
Division involving powers of 10,Multiplying and Dividing with Decimals,\( 1200 \div 100 = \),\( 12 \),\( 120 \),"When dividing involving a multiple of 10, gives an answer 10 times bigger than it should be ",2272
Understanding and using reciprocals,Fractions and Ratios,"If \(\frac{1}{7} \div \frac{1}{2} = x\), what is the value of \(x\)?",\(2/7\),\(1/5\),Subtracts instead of divides,2273
Division of monomials with coefficients and variables involving integer and fractional powers,Simplifying Algebraic Expressions,What is the simplified form of the expression: \(\frac{12x^5}{4x^2}\)?,\(3x^3\),\(8x^3\),"When dividing variables, thinks they subtract coefficients as well as powers",2274
Calculate the midpoint of a line segment in a coordinate plane where one coordinate has a fractional value,Midpoint Formula with Fractions,"Determine the midpoint of the line segment connecting the points \((2.5, -4)\) and \((-3, 5.5)\).","\((-0.25, 0.75)\)","\((-2.75, -1.75)\)",Believes midpoint calculation is just half of the difference,2275
Calculate a given percentage of a whole number,Percentage Calculations,Alejandro has saved 600. He decides to donate 15% of his savings to a charity. How much money will he donate?,\( 90 \),\( 15 \),Has considered the percentage rather than the percentage of the amount,2276
Factorisation of quadratic expressions into double brackets,Algebraic Expressions and Equations,Factorise the quadratic expression \( x^2 - 5x + 6 \).,\((x - 2)(x - 3)\),\((x + 2)(x + 3)\),"When factorising into double brackets, finds the correct values for the non variable terms but swops the plus and minus sign",2277
Calculate the per-unit cost in a scenario where total cost and quantity are provided,Applications of Division in Real-life Contexts,Alice bought a bulk pack of \( 12 \) notebooks for a total cost of \( \36 \). She wants to find out how much each notebook costs individually. What should be the correct approach to find the cost per notebook?,\( 36 \div 12 \) resulting in \( \3 \) per notebook.,\( 36 - 12 \) resulting in \( \24 \).,Subtracts rather than divides when answering worded problems,2278
Evaluate all possible combinations from multiple categories,Set Theory,"In a card game, you need to choose one card from a deck of 52 cards and one suit from the four suits (hearts, diamonds, clubs, spades). How many possible outcomes are there for choosing a card and a suit together?",\( 52 \times 4 = 208 \),\( 52 + 4 = 56 \),Adds rather than multiplies when using the product rule for counting,2279
Calculating the Slope of a Linear Equation,Algebra and Linear Equations,"A water tank is draining at a consistent rate, as shown in the table below. Calculate the rate at which the tank is draining in liters per minute.

| Time (minutes) | Water Level (liters) |
|-----------------|------------------------|
| 0                     | 150                          |
| 5                     | 125                          |

What is the rate of drainage in liters per minute?",\(-5 \text{ liters per minute}\),\(-30 \text{ liters per minute}\),"Believes change in y for gradient is always calculated from the origin, regardless of the y-intercept of the line",2280
Identifying Time Periods in Word Problems,Mathematical Word Problems Involving Time and Seasons,"Paula plans her gardening activities based on the seasons. She wants to plant her new flower bed in the spring season, which lasts from March to May. In which of the following months should Paula start planting her flowers?",April,June,Does not understand which months are in the Spring,2281
Solving for and Interpreting Slope and Intercept from Linear Equations,Linear Functions and Graphing,"Given the equation \( y = -7x + 2 \), determine the slope and y-intercept.","The slope is -7, and the y-intercept is 2.","The slope is 2, and the y-intercept is -7.","Believes that in y=mx+c, m is the y-intercept",2282
Find the missing length in pairs of similar shapes using proportional reasoning,Geometry - Similarity,"Two similar triangles have corresponding side lengths of 5 cm and 15 cm in the smaller and larger triangle respectively. If another side of the smaller triangle is 7 cm, what is the length of the corresponding side in the larger triangle?",21 cm,10 cm,"When finding the missing length on similar shapes, just finds the difference between the given lengths",2283
"INSERT TEXT HERE Determining specific terms in a non-arithmetic, non-geometric sequence using a formula",INSERT TEXT HERE Sequences-General,"INSERT TEXT HERE Consider the sequence defined by the formula \( a_n = 2n^2 + 1 \), where \( n \) is the term number. What is the value of the 6th term?",INSERT TEXT HERE 73,INSERT TEXT HERE 25,When asked for a specific term in a sequence just gives the next term,2284
Understanding function operation sequence in a function machine,Function Machines and Operations,Consider the function machine below: Input \( \longrightarrow + 7 \longrightarrow \div 2 \quad \longrightarrow \) Output. What is the output when the input is \( 6 \)?,\( 6.5 \),\( 10 \),"In a function machine, confuses the first operation and the input",2285
Determine the distance travelled from a velocity-time graph,Physics - Kinematics,"The velocity-time graph shows the acceleration of a bicycle ride over a 15-second period. From the start at (0,0), the graph linearly increases to (15, 30). What is the total distance travelled by the bicycle?",\( 225 \mathrm{~m} \),\( 33.54 \mathrm{~m} \),Believes the length of the line in a velocity time graph gives the distance (rather than the area underneath that line).,2286
Finding the Highest Common Factor (HCF) using Prime Factorization,Number Theory,Find the highest common factor of 24 and 36.,\( 12 \),\( 2 \times 3 \times 2 \times 3 = 36 \),Believes multiplying together all prime factors gives the highest common factor,2287
Multiply two decimals,Multiplying and Dividing with Decimals,"Work out:
\[
0.6 \times 0.3
\]",\( 0.18 \),\( 1.8 \),"When multiplying decimals, does not realize that the order and position of the digits (relative to each other) has to remain constant.",2288
Interpreting Symbols in Geometric Figures,Geometry Basics and Notation,What does the single tick mark indicate about the sides labeled AB and CD in the given triangle? ![A triangle with tick marks on sides AB and CD.](),"The tick mark indicates that sides AB and CD are congruent, meaning they are of equal length.",The tick mark indicates that sides AB and CD are straight lines.,Confuses the signs for straight lines as being dashes,2289
Graphical Representation of Points in a Coordinate Plane,Coordinate Geometry,"James has been asked to plot the points \( (3, 2) \) and \( (5, 4) \) on a coordinate plane. James mistakenly plots both points at \( (3, 3) \). Describe the error James made and plot the correct coordinates on the graph.","The correct way to plot them is \( (3, 2) \) as 3 units right on the x-axis and 2 units up on the y-axis; \( (5, 4) \) as 5 units right on the x-axis and 4 units up on the y-axis.","James plotted both points at \( (3, 3) \), incorrectly using the same value for both coordinates, thinking both coordinates must be the same for each point.",Uses the same value for both coordinates,2290
Manipulate both equations so that they are in a form to be added or subtracted,Simultaneous Equations,"Anna and Ben are trying to solve the following system of equations by elimination. They need to eliminate \( x \):  
\( (1) \) \( 3x + 2y = 14 \)  
\( (2) \) \( 5x - 3y = 7 \)  
Anna suggests multiplying equation \( (1) \) by \( 5 \), while Ben suggests multiplying equation \( (1) \) by \( 3 \) and equation \( (2) \) by \( -3 \). Who is correct?",Only Ben is correct,Neither of them is correct,"When solving simultaneous equations, thinks they can't multiply each equation by a different number",2291
Recognise when to find a factor to solve a problem,Factors and Division,"Emma has \( 24 \) candies and wants to distribute them equally among her friends. How many friends can she distribute the candies to without having any leftover candies? To solve this, Emma needs to determine the ______ of \( 24 \).",Factors,Remainders,Does not understand that factors are divisors which split the number into equal groups,2292
Identify direction from side view,3D Geometry,"The diagram below shows a 3D shape from three different views: top view, front view, and side view. Identify the shapes' orientation when viewed from the right side. Assume each unit on the grid represents a unit cube.",View from the right side shows the shape oriented with the dimensions corresponding to the right profile in the side view. This view shows the right side profile as drawn from the initial perspective.,"The orientation of the side view does not depend on whether it is viewed from the left or the right; therefore, the side view is the same in both directions.",Thinks the orientation of the side view does not matter when identifying the direction of view,2293
Calculate the histogram values,Statistics,"Given the following grouped frequency distribution table: 

\[
\begin{array}{|c|c|}
\hline
\text{Class Interval} & \text{Frequency} \\
\hline
0-10 & 5 \\
10-20 & 8 \\
20-30 & 12 \\
30-40 & 10 \\
\hline
\end{array}
\]

Calculate the sum of the frequencies. Assume midpoints as the representative value for each class interval.",The sum of frequencies is \(5 + 8 + 12 + 10 = 35\),The sum of frequencies is \(5 \times 5 + 8 \times 15 + 12 \times 25 + 10 \times 35 = 775\),Believes that Mid point multiplied by the Frequency in a grouped frequency table gives the frequency for that group.,2294
Understanding probability range,Probability,"If a fair six-sided die is rolled twice, what is the probability of rolling a 7 in total?","The probability is 0, as it is impossible to roll a 7 with a single roll of a six-sided die.","The probability is 1.17, calculated by adding the probabilities of each possible face: \(\frac{1}{6} + \frac{1}{6}\), resulting in \(\frac{2}{6} = 0.33\) for each face and adding up multiple unreachable outcomes like 5 + 2 = 7.",Believes probabilities can be greater than 1,2295
Identify triangular numbers,Other Sequences,"Consider the sequence \( 1, 1, 2, 3, 5, 8, 13 \ldots \). This sequence is known for each term being the sum of the two preceding ones. However, a different sequence \( 1, 3, 6, 10, 15, 21 \ldots \) appears to grow by consecutive additions. What is this latter sequence called?",The triangle numbers,The Fibonacci numbers,Believes Fibonacci numbers are triangle numbers,2296
Interpret numbers in a frequency table,Data Representation and Analysis,"A survey was conducted among students in a school to find out how many books they read during summer. The data is recorded as follows. How many students were surveyed in total? ![\begin{tabular}{|c|c|}
\hline Books Read & Frequency \\
\hline \( 0 \) & \( 8 \) \\
\hline \( 1-2 \) & \( 12 \) \\
\hline \( 3-5 \) & \( 10 \) \\
\hline \( 6-10 \) & \( 5 \) \\
\hline
\end{tabular}]()",\( 35 \),\( 4 \),Believes total frequency in a table is found by counting rows,2297
Order positive integers from smallest to greatest,Number Ordering,"Arrange the following numbers from smallest to greatest: 45, 12, 78, 33, 60","12, 33, 45, 60, 78","78, 60, 45, 33, 12",Mixes up smallest and greatest when ordering positive integers,2298
Understand characteristics of random sampling,Probability and Statistics,A teacher wants to select a sample of students from her class to answer a survey about favorite lunch options. She divides the class into groups of ten students. She then randomly selects one of the groups and surveys all the students in that group. Does each student in the class have an equal chance of being selected in the survey?,"No, each student does not have an equal chance of being selected. Students in the randomly chosen group have a 100% chance of being selected, while those not in that group have a 0% chance.","Yes, each student has an equal chance of being selected since one group was chosen at random.",Believes any sample gives an equal chance of selection,2299
Calculate missing angles in geometrical shapes,Angle Properties and Calculations,"A triangle is shown with angles labeled as 45 degrees, 45 degrees, and one unlabeled angle. Determine the measure of the unlabeled angle.",The unlabeled angle is 90 degrees.,The unlabeled angle is 180 degrees.,Forgets to include a marked right angle when performing angle calculations,2300
Recognise the equations of horizontal lines from a diagram,Horizontal and Vertical Lines,What is the equation of this line? ![A graph showing a horizontal line passing through 0 on the y-axis.](),y=0,x=0y,"Believes the equation of a horizontal line is in the form x = ay, where a is the y intercept",2301
Calculating the perimeter of composite shapes in geometry,Perimeter,"A shape is composed of a rectangle and an equilateral triangle. The rectangle has a length of \( 8 \mathrm{~cm} \) and a width of \( 6 \mathrm{~cm} \). The equilateral triangle is positioned so that one of its sides coincides with one of the rectangle's shorter sides.

What is the perimeter of the compound shape? ![A rectangle with an equilateral triangle attached along one edge]()",\( 32 \mathrm{~cm} \),\( 44 \mathrm{~cm} \),Believes lines inside the shape are included when finding perimeter,2302
INTERPRET CONTINUOUS DATA USING A BAR CHART,FREQUENCY AND DISTRIBUTION IN STATISTICS,"In the bar chart representing monthly book sales, how many months had sales below 300 books? The x-axis displays each month from January to December, and the y-axis represents the number of books sold. The bar heights represent the following sales figures: January: 250, February: 200, March: 150, April: 300, May: 350, June: 400, July: 450, August: 500, September: 320, October: 280, November: 260, December: 240.",6,6,"When asked to find data points below a certain value, gives the number of data points above this value",2303
