QuestionId,ConstructName,SubjectName,CorrectAnswer,QuestionText,CorrectAnswerText,Option,AnswerText,MisconceptionId,Prompt
599,Represent a linear inequality with a single tail on a numberline,Inequalities on Number Lines,B,"Which inequality is represented by the diagram? ![A number line with a filled in circle above 1with an arrow coming out of it over the numbers 2, 3, 4, 5 etc.]()",\( x \geq 1 \),C,\( x<1 \),,"Question: Which inequality is represented by the diagram? ![A number line with a filled in circle above 1with an arrow coming out of it over the numbers 2, 3, 4, 5 etc.]()
Incorrect Answer: \( x<1 \)
Correct Answer: \( x \geq 1 \)
Construct Name: Represent a linear inequality with a single tail on a numberline
Subject Name: Inequalities on Number Lines

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
602,Calculate non-unit fractions of an amount,Fractions of an Amount,D,\( \frac{3}{5} \) of \( 30= \),\( 18 \),C,\( 12 \),,"Question: \( \frac{3}{5} \) of \( 30= \)
Incorrect Answer: \( 12 \)
Correct Answer: \( 18 \)
Construct Name: Calculate non-unit fractions of an amount
Subject Name: Fractions of an Amount

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
611,Multiply proper fractions in the form: Fraction × Integer,Multiplying Fractions,A,\( \frac{2}{7} \times 3=3 \div K \times L \),\( \begin{array}{l}K=7 \\ L=2\end{array} \),C,\( \begin{array}{l}K=7 \\ L=7\end{array} \),,"Question: \( \frac{2}{7} \times 3=3 \div K \times L \)
Incorrect Answer: \( \begin{array}{l}K=7 \\ L=7\end{array} \)
Correct Answer: \( \begin{array}{l}K=7 \\ L=2\end{array} \)
Construct Name: Multiply proper fractions in the form: Fraction × Integer
Subject Name: Multiplying Fractions

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
617,Identify non-unit fractions when part of a shape,Dividing Fractions,D,"What should replace the question mark? ![A bar split into 8 equal parts. 3 of the parts are shaded, and the total length of these 3 parts is labelled 3/4. The total length of 6 parts is labelled with a question mark.]()",\( \frac{6}{4} \),C,\( \frac{6}{3} \),,"Question: What should replace the question mark? ![A bar split into 8 equal parts. 3 of the parts are shaded, and the total length of these 3 parts is labelled 3/4. The total length of 6 parts is labelled with a question mark.]()
Incorrect Answer: \( \frac{6}{3} \)
Correct Answer: \( \frac{6}{4} \)
Construct Name: Identify non-unit fractions when part of a shape
Subject Name: Dividing Fractions

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
620,"Reflect an object or a point in a vertical line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object",Reflection,D,This triangle is reflected in the line \( x= \) 4. What will the coordinate of the point marked \( \mathrm{C} \) on the reflected shape be? ![A positive quadrant graph showing a triangle ABC plotted](),"\( (2,5) \)",C,"\( (4,5) \)",,"Question: This triangle is reflected in the line \( x= \) 4. What will the coordinate of the point marked \( \mathrm{C} \) on the reflected shape be? ![A positive quadrant graph showing a triangle ABC plotted]()
Incorrect Answer: \( (4,5) \)
Correct Answer: \( (2,5) \)
Construct Name: Reflect an object or a point in a vertical line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object
Subject Name: Reflection

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
622,Multiply proper fractions in the form: Fraction × Fraction,Multiplying Fractions,D,Which calculation gives the fraction that replaces the question mark? ![A horizontal bar divided into 4 equal sections with vertical lines. The left hand section of these is coloured green and is further divided into 3 equal sections with vertical dotted lines. A curly bracket shows that the width of one of these green sections is denoted by a question mark.](),\( \frac{1}{4} \times \frac{1}{3} \),C,\( \frac{3}{6} \div 3 \),,"Question: Which calculation gives the fraction that replaces the question mark? ![A horizontal bar divided into 4 equal sections with vertical lines. The left hand section of these is coloured green and is further divided into 3 equal sections with vertical dotted lines. A curly bracket shows that the width of one of these green sections is denoted by a question mark.]()
Incorrect Answer: \( \frac{3}{6} \div 3 \)
Correct Answer: \( \frac{1}{4} \times \frac{1}{3} \)
Construct Name: Multiply proper fractions in the form: Fraction × Fraction
Subject Name: Multiplying Fractions

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
629,"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,A,"Tom and Katie are arguing about percentages.
Tom says \( 45 \%>0.059 \)
Katie says \( 45 \%>\frac{16}{31} \)
Who is correct?","Only
Tom",C,Both Tom and Katie,,"Question: Tom and Katie are arguing about percentages.
Tom says \( 45 \%>0.059 \)
Katie says \( 45 \%>\frac{16}{31} \)
Who is correct?
Incorrect Answer: Both Tom and Katie
Correct Answer: Only
Tom
Construct Name: Solve problems involving converting between fractions, decimals and percentages
Subject Name: Converting between Fractions and Percentages

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
632,Read values off a real life graph,Real Life Graphs,B,"Lethna pays at one rate for the first \( 100 \) units of electricity she uses. She pays at a different rate for all the other units of electricity she uses.

How much must she pay for using a total of \( 800 \) units of electricity? ![A graph showing how the cost changes for different numbers of units. The first 100 units cost £0.25 per unit. Then the rate changes to £0.10 per unit.]()",\( £ 95 \),C,\( £ 200 \),,"Question: Lethna pays at one rate for the first \( 100 \) units of electricity she uses. She pays at a different rate for all the other units of electricity she uses.

How much must she pay for using a total of \( 800 \) units of electricity? ![A graph showing how the cost changes for different numbers of units. The first 100 units cost £0.25 per unit. Then the rate changes to £0.10 per unit.]()
Incorrect Answer: \( £ 200 \)
Correct Answer: \( £ 95 \)
Construct Name: Read values off a real life graph
Subject Name: Real Life Graphs

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
644,Expand two brackets with linear terms in the form (ax + b)(cx + d),Expanding Double Brackets,A,"Molly is expanding these two brackets.

What should she get when she multiplies the two terms indicated by the arrows? ![The brackets shown are (2p-1)(3p-4). The arrows are pointing at the -1 in the first bracket and the -4 in the second bracket.]()",\( +4 \),C,\( +5 \),,"Question: Molly is expanding these two brackets.

What should she get when she multiplies the two terms indicated by the arrows? ![The brackets shown are (2p-1)(3p-4). The arrows are pointing at the -1 in the first bracket and the -4 in the second bracket.]()
Incorrect Answer: \( +5 \)
Correct Answer: \( +4 \)
Construct Name: Expand two brackets with linear terms in the form (ax + b)(cx + d)
Subject Name: Expanding Double Brackets

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
654,Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,A,"Simplify the following, if possible: \( \frac{m^{2}-2 m-3}{m-3} \)",\( m+1 \),C,\( m-1 \),,"Question: Simplify the following, if possible: \( \frac{m^{2}-2 m-3}{m-3} \)
Incorrect Answer: \( m-1 \)
Correct Answer: \( m+1 \)
Construct Name: Simplify an algebraic fraction by factorising the numerator
Subject Name: Simplifying Algebraic Fractions

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
659,Work out the size of each interior angle in a regular polygon,Angles in Polygons,D,Tom and Katie are discussing how to calculate the size of each interior angle in a regular \( 18 \) sided shape Tom says you can do \( \frac{20 \times 180}{18} \) Katie says you can do \( 360-\frac{180}{18} \) Who is correct?,Neither is correct,C,Both Tom and Katie,,"Question: Tom and Katie are discussing how to calculate the size of each interior angle in a regular \( 18 \) sided shape Tom says you can do \( \frac{20 \times 180}{18} \) Katie says you can do \( 360-\frac{180}{18} \) Who is correct?
Incorrect Answer: Both Tom and Katie
Correct Answer: Neither is correct
Construct Name: Work out the size of each interior angle in a regular polygon
Subject Name: Angles in Polygons

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
663,Recognise and use efficient methods for mental division,Mental Multiplication and Division,A,"This is how Teddy calculates the answer to \( 600 \div 25 \) mentally ""There are \( 4 \) lots of \( 25 \) in 100. I then multiplied \( 4 \) by \( 6 \) to get \( 24 \). So \( 600 \) divided by \( 25 \) is \( 24 \)"" Teddy uses the same method to calculate \( 800 \div 25 \). Which of the following shows how he would do this?","There are \( 4 \) lots of \( 25 \) in \( 100 \) 
Then I multiplied \( 4 \) by \( 8 \) 
So the answer is \( 32 \)",C,"There are \( 6 \) lots of \( 25 \) in \( 100 \) 
Then I multiplied \( 6 \) by \( 4 \) 
So the answer is \( 24 \)",,"Question: This is how Teddy calculates the answer to \( 600 \div 25 \) mentally ""There are \( 4 \) lots of \( 25 \) in 100. I then multiplied \( 4 \) by \( 6 \) to get \( 24 \). So \( 600 \) divided by \( 25 \) is \( 24 \)"" Teddy uses the same method to calculate \( 800 \div 25 \). Which of the following shows how he would do this?
Incorrect Answer: There are \( 6 \) lots of \( 25 \) in \( 100 \) 
Then I multiplied \( 6 \) by \( 4 \) 
So the answer is \( 24 \)
Correct Answer: There are \( 4 \) lots of \( 25 \) in \( 100 \) 
Then I multiplied \( 4 \) by \( 8 \) 
So the answer is \( 32 \)
Construct Name: Recognise and use efficient methods for mental division
Subject Name: Mental Multiplication and Division

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
664,Round numbers to two decimal places,Rounding to Decimal Places,A,"Two different numbers are equal to \( 4.37 \) to two decimal places.
The numbers could be....","\( 4.3708 \)
and
\( 4.3651 \)",C,"\( 4.373 \)
and
\( 3.371 \)",,"Question: Two different numbers are equal to \( 4.37 \) to two decimal places.
The numbers could be....
Incorrect Answer: \( 4.373 \)
and
\( 3.371 \)
Correct Answer: \( 4.3708 \)
and
\( 4.3651 \)
Construct Name: Round numbers to two decimal places
Subject Name: Rounding to Decimal Places

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
672,Identify the number of degrees in fractions of a turn,"Types, Naming and Estimating",D,How many degrees are there in three-quarters of a turn?,\( 270\degree \),C,\( 180\degree\),,"Question: How many degrees are there in three-quarters of a turn?
Incorrect Answer: \( 180\degree\)
Correct Answer: \( 270\degree \)
Construct Name: Identify the number of degrees in fractions of a turn
Subject Name: Types, Naming and Estimating

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
674,"Divide a quantity into two parts for a given a ratio, where each part is an integer",Writing Ratios,D,"For every \( 3 \) green squares there is \( 1 \) red square.
How many squares should be coloured green in the grid on the right? \begin{tabular}{|c|c|c|}
\hline \(\;\) & \(\;\) & \(\;\) \\
\hline \(\;\) & \(\;\) & \(\;\) \\
\hline \(\;\) & \(\;\) & \(\;\) \\
\hline \(\;\) & \(\;\) & \(\;\) \\
\hline
\end{tabular}",\( 9 \),C,\( 8 \),,"Question: For every \( 3 \) green squares there is \( 1 \) red square.
How many squares should be coloured green in the grid on the right? \begin{tabular}{|c|c|c|}
\hline \(\;\) & \(\;\) & \(\;\) \\
\hline \(\;\) & \(\;\) & \(\;\) \\
\hline \(\;\) & \(\;\) & \(\;\) \\
\hline \(\;\) & \(\;\) & \(\;\) \\
\hline
\end{tabular}
Incorrect Answer: \( 8 \)
Correct Answer: \( 9 \)
Construct Name: Divide a quantity into two parts for a given a ratio, where each part is an integer
Subject Name: Writing Ratios

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
678,Complete multi-step mental calculations,Mental Addition and Subtraction,B,"What is the value of:

\[
485+78-9
\]",\( 554 \),C,\( 572 \),,"Question: What is the value of:

\[
485+78-9
\]
Incorrect Answer: \( 572 \)
Correct Answer: \( 554 \)
Construct Name: Complete multi-step mental calculations
Subject Name: Mental Addition and Subtraction

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
680,Factorise a single bracket containing a non-linear expression by taking out a single algebraic common factor (e.g. a),Factorising into a Single Bracket,D,"Jo and Paul are arguing about factorising.

Jo says \( p^{2}+16 p \equiv(p+4)(p+4) \)

Paul says \( p^{2}+16 p \equiv p(p+4) \)

Who is correct?",Neither is correct,C,Both Jo and Paul,,"Question: Jo and Paul are arguing about factorising.

Jo says \( p^{2}+16 p \equiv(p+4)(p+4) \)

Paul says \( p^{2}+16 p \equiv p(p+4) \)

Who is correct?
Incorrect Answer: Both Jo and Paul
Correct Answer: Neither is correct
Construct Name: Factorise a single bracket containing a non-linear expression by taking out a single algebraic common factor (e.g. a)
Subject Name: Factorising into a Single Bracket

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
681,Solve one-step linear inequalities in one variable where the variable appears on one side of the equation,Solving Linear Inequalities,B,"Tom and Katie are arguing about the solution to this inequality:
\[
15 \geq 4 m
\]

Tom says \( m \) could be \( 4 \)

Katie says \( m \) could be \( 3.75 \)

Who is correct?",Only Katie,C,Both Tom and Katie,,"Question: Tom and Katie are arguing about the solution to this inequality:
\[
15 \geq 4 m
\]

Tom says \( m \) could be \( 4 \)

Katie says \( m \) could be \( 3.75 \)

Who is correct?
Incorrect Answer: Both Tom and Katie
Correct Answer: Only Katie
Construct Name: Solve one-step linear inequalities in one variable where the variable appears on one side of the equation
Subject Name: Solving Linear Inequalities

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
701,Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one,Linear Sequences (nth term),D,"If the original sequence looks like this: ![Two patterns made of squares. Pattern 1 consists of a central column of three squares, with an extra square either side, making a cross. Pattern two consists of two central columns of three squares with one extra square either side. ]() There are \( 302 \) squares in Pattern \( 100 \). But if the shape changes to this: ![These patterns are the same as those in the first picture except that in each, the second block from each column of three has been removed. ]() How many squares would there be in Pattern \( 100 \) now?",\( 202 \),C,\( 299 \),,"Question: If the original sequence looks like this: ![Two patterns made of squares. Pattern 1 consists of a central column of three squares, with an extra square either side, making a cross. Pattern two consists of two central columns of three squares with one extra square either side. ]() There are \( 302 \) squares in Pattern \( 100 \). But if the shape changes to this: ![These patterns are the same as those in the first picture except that in each, the second block from each column of three has been removed. ]() How many squares would there be in Pattern \( 100 \) now?
Incorrect Answer: \( 299 \)
Correct Answer: \( 202 \)
Construct Name: Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one
Subject Name: Linear Sequences (nth term)

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
708,"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,B,\( 0.4=\frac{2}{5}=? \% \),\( 40 \% \),C,\( 50 \% \),,"Question: \( 0.4=\frac{2}{5}=? \% \)
Incorrect Answer: \( 50 \% \)
Correct Answer: \( 40 \% \)
Construct Name: Solve problems involving converting between fractions, decimals and percentages
Subject Name: Converting between Fractions and Percentages

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
713,"Given the sector angle on a pie chart, calculate the frequency of a group",Pie Chart,B,"The pie chart shows the meal choices of guests at a wedding.

If there were \( 540 \) people at the wedding, which of the following would calculate how many people chose pork? ![A pie chart split into four parts, labelled with meal choices. The part for Beef is 150 degrees, Pork is 40 degrees and Other is 80 degrees. The angle for Vegetarian is labelled with a square right angle symbol.]()",\( \frac{40}{360} \times 540 \),C,\( \frac{40}{540} \times 360 \),,"Question: The pie chart shows the meal choices of guests at a wedding.

If there were \( 540 \) people at the wedding, which of the following would calculate how many people chose pork? ![A pie chart split into four parts, labelled with meal choices. The part for Beef is 150 degrees, Pork is 40 degrees and Other is 80 degrees. The angle for Vegetarian is labelled with a square right angle symbol.]()
Incorrect Answer: \( \frac{40}{540} \times 360 \)
Correct Answer: \( \frac{40}{360} \times 540 \)
Construct Name: Given the sector angle on a pie chart, calculate the frequency of a group
Subject Name: Pie Chart

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
730,Shade percentages of a shape where the percent is a multiple of 10,Percentages of an Amount,D,How many rectangles would you need to shade so that \( 60 \% \) of this shape is shaded? ![A rectangle split into 20 equal parts](),\( 12 \),C,\( 16 \),,"Question: How many rectangles would you need to shade so that \( 60 \% \) of this shape is shaded? ![A rectangle split into 20 equal parts]()
Incorrect Answer: \( 16 \)
Correct Answer: \( 12 \)
Construct Name: Shade percentages of a shape where the percent is a multiple of 10
Subject Name: Percentages of an Amount

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
736,Identify the order of rotational symmetry of a shape,Properties of Triangles,A,"In which region would an isosceles triangle belong? ![Venn diagram with two circles labelled with 'exactly one line of symmetry' and 'rotational symmetry of order 3'. A is in the only exactly one line of symmetry region, B is in the intersection, C is in the only rotational symmetry of order 3 region and D is outside the two circles.]()",A,C,C,,"Question: In which region would an isosceles triangle belong? ![Venn diagram with two circles labelled with 'exactly one line of symmetry' and 'rotational symmetry of order 3'. A is in the only exactly one line of symmetry region, B is in the intersection, C is in the only rotational symmetry of order 3 region and D is outside the two circles.]()
Incorrect Answer: C
Correct Answer: A
Construct Name: Identify the order of rotational symmetry of a shape
Subject Name: Properties of Triangles

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
737,Write a surd in the form √a in a simplified form,Simplifying Surds,A,"\(
\sqrt{75}=n \sqrt{3}
\)

What is the value of \( n \) ?",\( 5 \),C,\( 9 \),,"Question: \(
\sqrt{75}=n \sqrt{3}
\)

What is the value of \( n \) ?
Incorrect Answer: \( 9 \)
Correct Answer: \( 5 \)
Construct Name: Write a surd in the form √a in a simplified form
Subject Name: Simplifying Surds

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
743,"For a given algebraic input, find the output of a function machine",Function Machines,A,"Tom and Katie are discussing the output of this \( 2 \)-step function machine input \(x\rightarrow+ 10\rightarrow\) multiplied by 3\(\rightarrow\) output Tom says the output is \( \mathbf{3 x}+\mathbf{3 0} \)
Katie says the output is \( \mathbf{1 0}+\mathbf{3} \boldsymbol{x} \)
Who is correct?",Only Tom,C,Both Tom and Katie,,"Question: Tom and Katie are discussing the output of this \( 2 \)-step function machine input \(x\rightarrow+ 10\rightarrow\) multiplied by 3\(\rightarrow\) output Tom says the output is \( \mathbf{3 x}+\mathbf{3 0} \)
Katie says the output is \( \mathbf{1 0}+\mathbf{3} \boldsymbol{x} \)
Who is correct?
Incorrect Answer: Both Tom and Katie
Correct Answer: Only Tom
Construct Name: For a given algebraic input, find the output of a function machine
Subject Name: Function Machines

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
750,Simplify an algebraic fraction by factorising both the numerator and denominator,Simplifying Algebraic Fractions,D,"Simplify the following, if possible:
\(
\frac{3 m+15}{m^{2}-2 m+15}
\)",Does not simplify,C,\( \frac{3}{m-3} \),,"Question: Simplify the following, if possible:
\(
\frac{3 m+15}{m^{2}-2 m+15}
\)
Incorrect Answer: \( \frac{3}{m-3} \)
Correct Answer: Does not simplify
Construct Name: Simplify an algebraic fraction by factorising both the numerator and denominator
Subject Name: Simplifying Algebraic Fractions

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
751,Interpret a pie chart,Pie Chart,D,A darts player hits his target \( 40 \% \) of the time. Which pie chart represents his hits and misses?,"![Pie chart showing hits with just over 1/3 of the chart, highlighted in red and misses, in white, with just under 2/3]()",C,"![Pie chart showing hits, in white, with 320 degrees of the chart and misses, highlighted in red, with 40 degrees.]()",,"Question: A darts player hits his target \( 40 \% \) of the time. Which pie chart represents his hits and misses?
Incorrect Answer: ![Pie chart showing hits, in white, with 320 degrees of the chart and misses, highlighted in red, with 40 degrees.]()
Correct Answer: ![Pie chart showing hits with just over 1/3 of the chart, highlighted in red and misses, in white, with just under 2/3]()
Construct Name: Interpret a pie chart
Subject Name: Pie Chart

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
752,Construct a pictogram involving fractions of symbols,Pictogram,A,![A pictogram is shown. One smiley face = 12 people. Salt and vinegar 2 faces. Ready salted 1 face. Prawn cocktail 3.5 faces. Other 2 faces]() What is missing from this pictogram?,What question was asked,C,A key,,"Question: ![A pictogram is shown. One smiley face = 12 people. Salt and vinegar 2 faces. Ready salted 1 face. Prawn cocktail 3.5 faces. Other 2 faces]() What is missing from this pictogram?
Incorrect Answer: A key
Correct Answer: What question was asked
Construct Name: Construct a pictogram involving fractions of symbols
Subject Name: Pictogram

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
770,Multiply proper fractions in the form: Fraction × Integer,Multiplying Fractions,A,"Tom and Katie are arguing about the answer to \( \frac{1}{5} \times 9 \)
Tom says \( \frac{1}{5} \times 9=1 \frac{4}{5} \)
Katie says \( \frac{1}{5} \times 9=\frac{9}{45} \)
Who is correct?",Only Tom,C,Both Tom and Katie,,"Question: Tom and Katie are arguing about the answer to \( \frac{1}{5} \times 9 \)
Tom says \( \frac{1}{5} \times 9=1 \frac{4}{5} \)
Katie says \( \frac{1}{5} \times 9=\frac{9}{45} \)
Who is correct?
Incorrect Answer: Both Tom and Katie
Correct Answer: Only Tom
Construct Name: Multiply proper fractions in the form: Fraction × Integer
Subject Name: Multiplying Fractions

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
